 -942.465085  24.7509766  3.95484209
 -910.565684  8.65112305  3.89101696
 -878.662878  10.7288818  3.928828
 -846.756667  10.7954712  4.04324007
 -814.84705  8.37225342  4.10506439
 -782.934027  4.99130249  3.99029493
 -751.017598 -3.59863281  3.88589764
 -719.097762 -6.8840332  3.84768367
 -687.174519  2.79776001  3.84916377
 -655.247868 -2.8416748  3.79246569
 -623.31781 -1.23043823  3.78616333
 -591.384343 -0.264923096  3.78171825
 -559.447468 -1.14660645  3.78680706
 -527.507183 -3.51483154  3.73049092
 -495.56349 -7.39874268  3.68524456
 -463.616386  28.4788208  3.85811281
 -431.665873  144.210205  4.19745684
 -399.711949  241.421631  4.48724985
 -367.754615  293.048065  4.63130808
 -335.793869  330.967285  4.74226475
 -303.829712  313.226379  4.96043396
 -271.862143  268.916931  4.57366037
 -239.891161  230.484009  4.49703026
 -207.916768  198.940552  4.70815325
 -175.938961  192.85437  5.48530245
 -143.957741  180.764893  5.54453182
 -111.973107  172.226318  4.80848265
 -79.9850587  164.439453  4.46999264
 -47.9935964  140.450989  4.39281654
 -15.9987192  126.919952  4.3765173
  15.9995731  130.839325  4.32954359
  48.0012809  128.709686  4.33084202
  80.0064045  145.63269  4.41654873
  112.014944  170.938141  4.50642443
  144.026901  181.845215  4.52376652
  176.042275  209.474304  4.74020147
  208.061065  253.829926  5.80997086
  240.083274  290.340515  6.74361467
  272.1089  348.754517  6.14336872
  304.137946  458.414917  5.31416082
  336.170409  472.352997  5.14026308
  368.206292  389.465942  4.92410564
  400.245595  279.904846  4.62349272
  432.288317  176.785156  4.34079552
  464.33446  94.827179  4.16197586
  496.384023  38.5409546  3.97628903
  528.437008  21.1891479  3.91776395
  560.493413  22.9743652  3.94553328
  592.553241  12.0634155  3.88893819
  624.61649  5.79837036  3.86261463
  656.683162  17.282196  3.91657329
  688.753256  10.0953979  3.89523506
  720.826774  11.6363831  3.89515209
  752.903716  7.84799194  3.90320277
  784.984081  11.9240723  3.96833873
  817.067871  6.33843994  3.93968534
  849.155085  2.25531006  3.8608098
  881.245724 -6.23944092  3.79444075
  913.339789 -0.245330811  3.78868437
  945.437279 -5.61959839  3.743577
